cohort_month,loyalty_status,months_since_acquisition,active_users,cohort_size,retention_pct
2020-04-01,1,20,1,935,0.11
2020-04-01,1,21,2,935,0.21
2020-04-01,1,22,1,935,0.11
2020-04-01,1,24,2,935,0.21
2020-04-01,1,28,1,935,0.11
2020-04-01,1,31,1,935,0.11
2020-05-01,0,0,1738,1738,100.0
2020-05-01,0,1,44,1738,2.53
2020-05-01,0,2,23,1738,1.32
2020-05-01,0,3,6,1738,0.35
2020-05-01,0,4,10,1738,0.58
2020-05-01,0,5,9,1738,0.52
2020-05-01,0,6,7,1738,0.4
2020-05-01,0,7,9,1738,0.52
2020-05-01,0,8,6,1738,0.35
2020-05-01,0,9,3,1738,0.17
2020-05-01,0,10,6,1738,0.35
2020-05-01,0,11,3,1738,0.17
2020-05-01,0,12,9,1738,0.52
2020-05-01,0,13,8,1738,0.46
2020-05-01,0,14,3,1738,0.17
2020-05-01,0,15,4,1738,0.23
